_RAJ2000	_DEJ2000	_V	TYC1	TYC2	TYC3	RAJ2000	DEJ2000	VTmag	BTmag	r_SpType	Dist	Teff	SpType	recno
209.4359181500	-10.9245988800	VizieR	5557	367	1	209.43591815	-10.92459888	8.861	10.211	mc5	0.111	4600	K1 III/IV	197416
210.1638662100	-10.5283374200	VizieR	5557	489	1	210.16386621	-10.52833742	8.998	10.344	mc5	0.401	4600	K1 III	197420
209.8978630600	-12.0420230500	VizieR	5557	591	1	209.89786306	-12.04202305	9.357	10.723	mc5	0.083	4900	G8/K0 III/IV	197421
210.8631877400	-10.9673064400	VizieR	5557	627	1	210.86318774	-10.96730644	7.685	7.998	mc5	0.091	8100	A5 IV	197422
210.4697352600	-11.4727928200	VizieR	5557	651	1	210.46973526	-11.47279282	9.108	9.665	mc5	0.397	6440	F5 V	197423
210.0151116300	-11.7857676100	VizieR	5557	694	1	210.01511163	-11.78576761	8.710	9.274	mc5	0.895	6440	F6 V	197424
210.6329191000	-10.4620775600	VizieR	5557	710	1	210.63291910	-10.46207756	9.610	10.075	ppS	0.330	6440	F5	197426
210.8147198300	-11.7982157300	VizieR	5557	723	1	210.81471983	-11.79821573	9.408	9.952	mc5	0.334	6890	F3/5 V	197427
211.0961466700	-11.4949414900	VizieR	5557	765	1	211.09614667	-11.49494149	9.529	11.092	mc5	0.157	4600	K1 (III)	197428
210.7372720500	-10.4656133400	VizieR	5557	798	1	210.73727205	-10.46561334	8.742	9.076	mc5	0.184	7850	A9 V	197429
210.6056317600	-11.7118590600	VizieR	5557	941	1	210.60563176	-11.71185906	10.048	10.682	mc5	0.345	6440	F6/7 V	197430
211.3700034300	-11.4793478000	VizieR	5557	969	1	211.37000343	-11.47934780	10.195	10.645	mc5	0.337	6440	F6 V	197431
211.5090142200	-11.5907138200	VizieR	5557	998	1	211.50901422	-11.59071382	9.739	10.822	mc5	0.300	4900	G8 IV	197432
210.3083443800	-10.3773250300	VizieR	5557	1148	1	210.30834438	-10.37732503	8.958	9.442	mc5	0.349	6890	F3 V	197433
210.9744762600	-11.2729753400	VizieR	5557	1335	1	210.97447626	-11.27297534	8.213	9.635	mc5	0.217	4600	K1 III	197435
209.6063297100	-11.1574215000	VizieR	5557	1372	1	209.60632971	-11.15742150	9.668	10.137	mc5	0.072	6890	F3 V	197436
209.9460870500	-10.4377746700	VizieR	5557	1384	1	209.94608705	-10.43777467	10.092	11.124	mc5	1.153	4600	K1 III	197437
209.5129841200	-10.0906266500	VizieR	5557	1426	1	209.51298412	-10.09062665	9.407	9.879	mc5	0.110	6890	F3 V	197440
209.4475557900	-11.5368169400	VizieR	5557	1457	1	209.44755579	-11.53681694	8.127	8.394	mc5	0.343	7850	A7 V	197441
210.5835389500	-12.0371245700	VizieR	5557	1506	1	210.58353895	-12.03712457	8.797	9.585	mc5	0.242	5860	G3/5 V	197442
210.2985852100	-11.9303879500	VizieR	5557	1585	1	210.29858521	-11.93038795	9.220	10.405	mc5	0.094	4900	G8 III	197443
209.6118320100	-12.0592816400	VizieR	5557	1626	1	209.61183201	-12.05928164	7.148	8.312	mc5	1.690	4750	K0 III/IV	197444
207.0893047600	-13.5387727500	VizieR	5559	80	1	207.08930476	-13.53877275	9.848	11.293	mc4	0.178	4750	K0/1 (III)	197499
